Scapulars Hue,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,-1.53,,x,
standard error ,0.34,,x,
p,<0.001,,x,
,,,,
,,,,
Breast Hue,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,1.0288,,,
standard error ,0.14,,,
p,<0.001,,,
,,,,
,,,,
,,,,
Crown Hue,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,-0.3846,,,
standard error ,0.22,,,
p,NS,,,
,,,,
,,,,
,,,,
,,,,
Scapulars Brightness,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,0.3246,1.4763,,
standard error ,0.3475,0.3958,,
p,<0.001,<0.001,,
,,,,
,,,,
Breast Brightness,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,0.3958,2.30462,,0.02914
standard error ,0.70731,2.30462,,0.01266
p,<0.001,<0.05,,<0.05
,,,,
,,,,
,,,,
Crown Brightness,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,3.0845,2.1702,,
standard error ,0.587,0.6707,,
p,<0.001,<0.01,,
,,,,
,,,,
,,,,
,,,,
Scapulars Saturation,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,0.7215,,,
standard error ,0.3479,,,
p,<0.05,,,
,,,,
,,,,
Breast Saturation,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,0.7215,,,x
standard error ,0.3479,,,x
p,<0.05,,,x
,,,,
,,,,
,,,,
,,,,
Crown Saturation,ORICOLL,AGECOLL,MTHCOLL,AGECURR
slope,0.3246,,,
standard error ,0.5079,,,
p,NS,,,
