Bird,ORICOLL,AGECOLL,MTHCOLL,AGECURR,scapsH,scapsS,scapsB,breastH,breastS,breastB,crownH,crownS,crownB
1,arquata,ad,jan,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,arquata,ad,feb,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,arquata,ad,may,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,arquata,ad,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,arquata,ad,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,arquata,ad,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,arquata,NA,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,arquata,ad,may,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,arquata,ad,sep,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,arquata,ad,oct,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,arquata,ad,oct,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,arquata,1y,aug,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,arquata,1y,oct,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,arquata,ad,jan,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,arquata,ad,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,arquata,ad,apr,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,arquata,ad,apr,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,arquata,ad,apr,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,arquata,ad,apr,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,arquata,ad,may,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,arquata,ad,may,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,arquata,ad,may,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,arquata,ad,may,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,arquata,ad,apr,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,arquata,ad,jun,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,arquata,ad,jun,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,arquata,ad,jul,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,arquata,ad,apr,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,arquata,ad,jan,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,arquata,ad,feb,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,arquata,ad,jun,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,arquata,NA,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,arquata,ad,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,arquata,ad,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,arquata,ad,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,arquata,ad,jan,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,arquata,NA,oct,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,arquata,ad,jul,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,arquata,ad,jun,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
