IDSPEC1,ORICOLL2,AGECOLL3,SEX4,MTHCOLL5,AGECURR6,SCAPSH7,SCAPSS8,SCAPSB9,BREASTH10,BREASTS11,BREASTB12,CROWNH13,CROWNS14,CROWNB15,CONTROLH16,CONTROLS17,CONTROLB18,WING19,BILL20,BILLDEPTH21,BILL1DEPTH22,TARSUS23,TARSUSTHICK24,TARSUS2THICK25,TOE26,TAIL27,COORDSX28,COORDSY29
1941.5.30.1788,arquata,1y,f,jun,1912,35.60611765,46.71254902,4.960392157,28.74776471,62.55019608,18.2654902,#VALUE!,,,34.967,247.895,225.449,302,122.37,15.77,9.85,84.3,7.77,5.34,6.45,,-2.412907926,57.5065679
1951.13.330,arquata,ad,f,dec,1936,,#VALUE!,#VALUE!,30.28517647,62.87098039,26.94901961,#VALUE!,,,NA,NA,NA,,126.25,12.64,9.22,82.77,6.15,4.4,5.29,,0.712160659,52.9678217
1914.9.30.69,arquata,ad,f,sep,1900,31.97223529,61.91921569,10.99568627,29.71341176,61.82431373,24.11647059,27.40376471,58.71764706,14.34156863,NA,NA,NA,294,,,11.04,84.9,6.35,4.48,5.26,100,1.002937487,51.3436475
1914.9.30.72,arquata,ad,m,dec,1895,32.112,62.6745098,14.18431373,30.53929412,64.46470588,22.23058824,30.21458824,58.27098039,14.05803922,NA,NA,NA,296,119.6,13.85,8.51,79.7,6.7,4.42,,,-0.966583123,50.7999574
1912.12.10.595,arquata,1y,m,aug,1892,33.61694118,57.12941176,8.834901961,31.05882353,59.3027451,23.99921569,28.85223529,60.71843137,10.32196078,NA,NA,NA,275,,14.16,9.46,70.71,,,5.37,96,0.834048527,52.2989333
1941.5.30.1780,arquata,1y,f,sep,1913,30.43482353,58.26509804,10.13490196,31.42729412,56.27764706,26.87176471,27.24988235,59.8,17.89254902,34.176,248.93,227.978,289,137.55,,10.32,75.91,6.36,4.61,4.99,112,1.559571719,52.088826
1969.40.23,arquata,ad,m,sep,1933,30.48,58.93215686,12.69176471,30.27388235,56.41490196,28.63803922,27.30776471,62.17803922,17.17254902,NA,NA,NA,,102.94,,,66.68,6.53,4.1,4.38,98,1.734321314,52.5985049
1914.9.30.70,arquata,ad,m,dec,1897,30.81458824,58.62235294,10.60196078,29.96752941,64.76784314,20.5,28.61788235,60.2545098,9.583921569,NA,NA,NA,274,117.1,12.67,8.25,76.5,5.64,4.03,3.71,86,-0.925343199,50.8233084
2004.1.41,arquata,ad,NA,dec,1990,34.22258824,58.76784314,9.502745098,30.45317647,60.9345098,26.49686275,28.49929412,59.64156863,17.81372549,NA,NA,NA,302,127.73,14.3,9.77,78.87,6,4.22,4.3,114,-3.403088767,50.631719
1919.12.10.594,arquata,ad,m,nov,1993,31.52470588,59.05529412,9.95372549,32.14305882,58.91215686,29.28470588,31.98635294,57.48039216,10.93019608,NA,NA,NA,285,124.72,,,77.89,6.26,4.51,5.44,103,1.6,52.15
91.8.1.128,arquata,1y,NA,aug,1870,25.96235294,59.80039216,7.316078431,31.344,59.59490196,25.27803922,#VALUE!,#VALUE!,#VALUE!,35.014,244.533,200.972,304,131.15,14.8,10.54,86.31,6.38,5.56,5.76,100,-0.114140177,53.8051547
92.8.3.443,arquata,ad,f,feb,1871,28.36094118,60.20980392,11.67411765,30.40094118,61.48745098,24.29803922,27.90917647,61.79764706,18.15254902,NA,NA,NA,299,,,9.6,80.13,5.99,4.51,5.29,100,-0.003553551,53.3591753
1934.1.1.2795,arquata,ad,NA,dec,1895,32.93929412,56.72980392,12.73568627,31.33129412,60.60784314,32.10941176,27.75388235,58.27137255,19.86980392,NA,NA,NA,,122.07,13.33,8.93,79.68,6.61,3.8,5.23,97,1.018824829,51.812854
